timestamp,cpu,ram,tx_bytes,rx_bytes
1605182866392448814,15.46,46.002,333281587861,165468032348
1605182866805874136,16.49,45.9977,333281633581,165468069302
1605182867222887819,20.41,46.0082,333281679077,165468107925
1605182867638994086,20.41,46.0071,333281740466,165468153487
1605182868056657547,17.35,46.0024,333281805062,165468197061
1605182868476027954,17.35,46.0172,333281892775,165468290449
1605182868899064202,20.2,46.0233,333282034509,165468383992
1605182869313350047,20.2,46.0291,333282149328,165468473412
1605182869728520350,15.62,46.0289,333282224165,165468522566
1605182870142303834,17.71,46.0297,333282295081,165468563033
1605182870557109391,17.71,46.0282,333282361541,165468605081
1605182870972188949,10.75,46.0047,333282434918,165468646326
1605182871387206686,10.75,46.0231,333282497044,165468686964
1605182871802227109,12.63,46.0123,333282565043,165468727914
1605182872216798105,16.67,46.0268,333282633167,165468768835
1605182872632754941,16.67,46.0161,333282706693,165468810538
1605182873046592373,17.39,46.0123,333282772805,165468851031
1605182873462139339,17.39,46.0231,333282840484,165468891661
1605182873876539278,13.68,46.02,333282908492,165468932744
1605182874290853900,13.83,46.0184,333282978842,165468974722
1605182874704227450,13.83,46.0231,333283042300,165469014648
1605182875119496598,14.58,46.0321,333283109720,165469055453
1605182875533411384,14.58,46.0399,333283175244,165469096423
1605182875950311133,12.63,46.0465,333283246363,165469138526
1605182876364771757,12.63,46.0426,333283309403,165469178008
1605182876779281651,11.7,46.0534,333283378222,165469219416
1605182877194791339,16.67,46.0563,333283449489,165469261108
1605182877610544574,16.67,46.0668,333283517082,165469302382
1605182878024054208,15.79,46.0731,333283581988,165469341997
1605182878439442089,15.79,46.075,333283652686,165469383501
1605182878867604266,9.89,46.0731,333283720251,165469426776
1605182879285773663,17.02,46.076,333283790253,165469467340
1605182879704364049,17.02,46.0252,333283857022,165469507572
1605182880120208464,17.89,46.0186,333283924762,165469548971
1605182880535284693,17.89,46.0215,333283990063,165469592386
1605182880957866046,18.18,46.0047,333284059760,165469636836
1605182881386793354,19.19,45.9973,333284142298,165469686315
1605182881811103257,24.51,46.0194,333284217807,165469729077
1605182882226289180,26.47,46.0049,333284283892,165469769531
1605182882642750736,26.47,46.0131,333284369172,165469816925
1605182883058422701,21.43,46.0161,333284442409,165469862404
1605182883473565401,21.43,46.0123,333284517970,165469904592
1605182883889353318,16.16,46.0125,333284584582,165469945863
1605182884303204485,19.59,46.0207,333284670144,165469994078
1605182884718090703,19.59,46.0131,333284746767,165470037915
1605182885133239475,14.43,46.0176,333284815431,165470079358
1605182885547926212,14.43,46.0092,333284909855,165470127025
1605182885963148212,14.58,46.0155,333284982043,165470172165
1605182886376878994,15.96,46.0123,333285045086,165470212779
1605182886791367007,15.96,46.0186,333285119768,165470254485
1605182887208775174,17.35,46.0071,333285213341,165470305175
1605182887623231449,17.35,46.017,333285284416,165470348278
1605182888037622357,16.84,46.0139,333285351314,165470390194
1605182888453123781,16.84,46.0149,333285439233,165470437331
1605182888868015107,14.74,46.0094,333285516731,165470484005
1605182889282368124,17.89,46.0108,333285579484,165470523853
1605182889699541262,17.89,46.0155,333285651350,165470565555
1605182890113873074,14.89,46.0344,333285762346,165470621930
1605182890529363295,14.89,46.0215,333285841136,165470668144
1605182890944328523,19.8,46.0168,333285910083,165470710221
1605182891361276059,20.79,46.0336,333286018588,165470762937
1605182891774885341,20.79,46.0252,333286097744,165470812678
1605182892190061846,20.2,46.0282,333286167522,165470854977
1605182892609678815,20.2,46.0153,333286247331,165470898654
1605182893027419159,21,46.0252,333286353809,165470958133
1605182893443796790,22.22,46.0246,333286426734,165471000995
1605182893860313169,22.22,46.0274,333286495878,165471043048
1605182894276235610,15.62,46.0313,333286609708,165471097541
1605182894690542554,15.62,46.0244,333286689009,165471147486
1605182895105182292,17.71,46.0307,333286760662,165471189877
1605182895525513961,17.71,46.0219,333286827765,165471232472
1605182895941321925,18.37,46.0368,333286950299,165471293923
1605182896356652319,23.23,46.0313,333287024854,165471337930
1605182896772629842,23.23,46.0375,333287099050,165471379099
1605182897186817056,18.37,46.0389,333287212199,165471434421
1605182897601504590,18.37,46.0465,333287292187,165471482837
1605182898015888830,20,46.05,333287364087,165471525694
